Hours_Studied	Attendance	Access_to_Resources	Sleep_Hours	Previous_Scores	Tutoring_Sessions	Exam_Score												
23	84	High	7	73	0	67												
19	64	Medium	8	59	2	61												
24	98	Medium	7	91	2	74												
29	89	Medium	8	98	1	71												
19	92	Medium	6	65	3	70												
19	88	Medium	8	89	3	71												
29	84	Low	7	68	1	67												
25	78	High	6	50	1	66												
17	94	High	6	80	0	69												
23	98	Medium	8	71	0	72												
17	80	High	8	88	4	68												
17	97	High	6	87	2	71												
21	83	Medium	8	97	2	70												
9	82	Medium	8	72	2	66												
10	78	High	8	74	1	65												
17	68	Medium	8	70	2	64												
14	60	Low	10	65	0	60												
22	70	Medium	6	82	1	65												
15	80	Medium	9	91	3	67												
12	75	High	7	58	3	66												
29	78	Medium	5	99	0	69												
19	99	High	6	84	1	72												
20	74	High	8	89	1	66												
11	78	Medium	8	100	1	66												
17	65	High	5	75	2	63												
21	62	Low	6	54	0	64												
13	91	Medium	6	90	1	65												
22	83	High	6	94	0	71												
16	90	Medium	4	58	1	66												
18	66	High	4	51	2	64												
16	83	Medium	6	57	0	63												
31	70	High	7	66	1	69												
20	69	Medium	8	96	2	67												
14	60	Medium	5	50	2	61												
25	65	Medium	5	90	2	68												
13	72	Medium	6	93	1	61												
21	65	Low	7	91	2	64												
8	99	Medium	9	54	2	67												
12	72	Medium	8	84	1	63												
21	65	Medium	6	98	1	64												
24	68	Medium	8	56	3	67												
21	84	Medium	6	52	1	65												
19	63	High	7	94	1	64												
18	94	High	7	82	3	70												
11	98	Medium	9	82	1	68												
16	70	Medium	8	98	2	65												
17	78	Medium	6	88	1	68												
26	61	Low	6	70	2	64												
22	86	Medium	7	72	3	68												
9	77	Medium	5	57	2	63												
22	71	Medium	7	65	1	64												
18	68	Medium	7	72	0	64												
16	86	Medium	8	63	2	67												
24	77	Low	8	96	0	67												
26	67	High	7	51	2	66												
26	88	High	5	79	1	72												
15	83	High	5	89	1	65												
18	94	Medium	6	87	1	71												
22	65	Low	8	82	2	66												
26	91	Low	8	71	0	68												
17	87	Medium	7	96	1	70												
19	65	Medium	10	66	0	62												
13	88	High	9	88	2	68												
13	78	High	9	96	2	67												
25	98	High	8	56	0	71												
28	66	High	8	97	0	68												
20	86	Medium	8	89	1	69												
26	75	High	4	81	3	70												
22	98	High	5	69	1	69												
16	73	Medium	7	95	1	65												
22	98	Low	7	52	3	70												
29	96	Low	7	72	1	71												
20	71	Medium	7	88	1	65												
29	92	Medium	4	91	2	72												
4	100	High	8	60	0	69												
25	70	Medium	7	52	1	66												
21	77	Medium	7	90	4	68												
18	81	Low	8	71	0	65												
21	72	Medium	5	57	1	64												
8	61	Medium	7	54	1	60												
19	69	High	7	82	1	65												
22	71	Medium	6	79	1	66												
29	78	High	4	93	5	74												
17	67	Medium	5	52	2	62												
15	95	Medium	7	93	2	70												
17	88	High	7	94	0	69												
25	63	High	7	72	3	67												
22	86	Low	6	54	2	64												
17	86	High	5	97	3	71												
23	98	Low	7	54	0	68												
21	60	Medium	7	80	0	64												
26	70	Low	8	75	1	63												
16	97	Medium	6	92	0	71												
18	97	Medium	4	75	0	69												
18	89	Medium	4	73	3	100												
11	91	Medium	6	94	3	68												
22	64	Medium	7	98	1	62												
22	81	Medium	7	77	2	68												
20	69	High	6	73	2	66												
19	67	Medium	5	92	0	64												
12	92	Medium	4	92	2	67												
17	65	High	8	66	1	65												
18	79	Medium	7	79	0	65												
15	98	Medium	6	58	0	69												
19	67	Medium	5	82	1	63												
22	99	Low	6	92	3	72												
31	100	Medium	7	59	2	76												
21	82	High	7	66	3	69												
22	67	Medium	7	72	3	67												
20	73	Medium	9	92	2	69												
8	77	Medium	6	87	0	63												
20	72	Medium	9	66	3	67												
20	71	High	7	62	2	66												
35	99	High	7	85	2	79												
19	66	Medium	8	74	1	64												
22	89	High	6	80	1	73												
20	60	High	7	82	2	63												
13	84	Medium	5	78	1	65												
27	97	High	8	81	0	73												
25	72	High	8	94	2	70												
25	67	Medium	9	93	2	68												
15	86	Medium	7	57	1	65												
28	89	High	9	79	0	71												
12	88	Medium	6	72	2	64												
24	73	High	8	64	4	68												
33	70	Medium	6	82	1	69												
14	98	Medium	7	76	0	69												
17	97	Medium	8	89	1	69												
21	78	Medium	10	55	1	67												
17	94	Medium	8	65	4	68												
11	78	High	8	51	2	64												
20	77	Medium	6	87	0	66												
14	66	Low	7	96	3	63												
23	77	Medium	7	79	0	66												
14	81	Medium	9	81	1	66												
29	61	High	7	52	3	67												
15	78	High	9	75	1	65												
18	91	Medium	5	76	1	68												
25	87	Low	9	52	1	68												
13	85	Medium	6	89	0	65												
21	96	Medium	8	64	2	71												
28	61	High	6	86	1	65												
10	82	Low	8	70	3	64												
21	91	Medium	6	100	0	72												
22	82	Medium	9	61	2	65												
25	73	High	8	53	0	66												
13	65	High	6	99	0	61												
12	96	High	8	62	2	68												
23	79	High	8	82	3	69												
22	95	High	6	69	1	72												
22	83	High	5	82	2	71												
22	87	High	5	80	2	70												
16	92	High	5	85	1	68												
21	86	Medium	5	51	2	67												
22	76	Medium	8	92	1	68												
16	81	Medium	8	74	3	68												
31	92	Medium	4	76	2	72												
23	75	High	6	71	0	65												
13	76	High	5	99	2	66												
24	64	Medium	8	90	0	65												
14	97	Medium	6	66	2	67												
25	64	High	5	89	2	66												
27	86	Medium	7	72	1	69												
15	77	Medium	8	94	0	66												
26	76	High	6	52	4	69												
22	87	Low	7	68	0	67												
25	63	Medium	6	71	1	66												
31	84	Medium	9	87	2	71												
19	91	Low	6	59	5	70												
15	93	Medium	6	64	2	71												
15	67	Medium	7	86	1	66												
15	96	Medium	7	54	3	67												
20	86	Low	8	60	1	66												
22	95	High	9	88	0	72												
22	79	Medium	9	94	1	68												
25	82	Medium	6	86	3	69												
20	97	Medium	7	76	2	71												
29	96	Medium	9	55	0	70												
18	78	Medium	9	91	2	67												
36	71	Medium	6	56	2	69												
24	76	High	8	69	2	65												
15	76	High	8	53	1	65												
14	71	Medium	8	85	2	64												
23	71	Low	9	75	1	63												
19	94	Medium	5	95	3	69												
24	63	Low	6	57	1	64												
23	87	High	8	91	0	72												
20	67	Medium	7	76	0	63												
15	74	High	4	68	3	64												
11	62	High	5	82	3	64												
17	71	Medium	8	90	5	67												
25	91	Medium	8	72	2	71												
21	95	Medium	5	62	1	70												
13	69	Low	9	96	0	61												
21	79	High	7	66	2	67												
22	79	Medium	5	100	4	72												
15	95	Low	6	88	1	66												
21	91	High	5	84	1	70												
20	81	Medium	6	51	3	67												
13	87	Low	4	72	2	67												
22	94	Medium	7	75	2	71												
23	60	Medium	8	69	1	66												
26	76	Medium	5	57	1	68												
26	96	Medium	7	68	3	74												
12	90	Low	6	54	1	64												
14	82	Medium	8	65	1	65												
23	81	Medium	4	54	1	66												
23	74	High	8	88	0	66												
23	81	Low	4	84	2	68												
43	86	Medium	7	97	2	78												
23	77	High	6	69	1	67												
27	89	High	6	89	3	74												
26	94	High	5	79	1	74												
24	66	Low	9	82	1	62												
18	78	Medium	5	77	2	66												
25	76	Medium	5	89	3	69												
15	87	High	10	52	2	68												
19	70	Low	7	54	0	89												
17	86	Low	5	55	2	66												
20	95	Medium	7	64	2	68												
